name_it,un_number,name_en,class,classification_code,packing_group,label,trc_transport_category,special_provisions,limited,expected_quantities,packing_instruction,special_packing_provision,mixed_packing_provision,instructions,p_tank_special_provisions,tank_code,ard_special_provisions,vehicle_for_tank_carriage,packages,bulk,loading_unloading_handling,operation,hazard_identification_no
PICRATO DI AMMONIO secco o umidiﬁcato con meno del 10% (massa) di acqua,4,,1,1.1D,,1,1 (B1000C),,,,,,,,,,,,,,,,
CARTUCCE PER ARMI con carica di scoppio,5,,1,1.1F,,1,1 (B1000C),,,,,,,,,,,,,,,,
CARTUCCE PER ARMI con carica di scoppio,6,,1,1.1E,,1,1 (B1000C),,,,,,,,,,,,,,,,
CARTUCCE PER ARMI con carica di scoppio,7,,1,1.2F,,1,1 (B1000C),,,,,,,,,,,,,,,,
MUNIZIONI INCENDIARIE con o senza carica di scoppio, carica di espulsione o carica propulsiva,9,,1,1.2G,,1,1 (B1000C),,,,,,,,,,,,,,,,
MUNIZIONI INCENDIARIE con o senza carica di scoppio, carica di espulsione o carica propulsiva,10,,1,1.3G,,1,1 (C5000D),,,,,,,,,,,,,,,,
CARTUCCE CON PROIETTILE INERTE PER ARMI o CARTUCCE PER ARMI DI PICCOLO CALIBRO,12,,1,1.4S,,1.4,4 (E),,,,,,,,,,,,,,,,
CARTUCCE A SALVE PER ARMI o CARTUCCE A SALVE PER ARMI DI PICCOLO CALIBRO O CARTUCCE A SALVE PER ATTREZZI,14,,1,1.4S,,1.4,4 (E),,,,,,,,,,,,,,,,
MUNIZIONI FUMOGENE con o senza carica di scoppio, carica di espulsione o carica propulsiva,15,,1,1.2G,,1,1 (B1000C),,,,,,,,,,,,,,,,
MUNIZIONI FUMOGENE, con o senza carica di scoppio carica espulsiva o carica propulsiva, contenenti materie corrosive,15,,1,1.2G,,1+8,1 (B1000C),,,,,,,,,,,,,,,,
MUNIZIONI FUMOGENE, con o senza carica di scoppio carica espulsiva o carica propulsi- va, contenenti materie tossiche per inalazione,15,,1,1.2G,,1+6.1,1 (B1000C),,,,,,,,,,,,,,,,
MUNIZIONI FUMOGENE con o senza carica di scoppio, carica di espulsione o carica propulsiva,16,,1,1.3G,,1,1 (C5000D),,,,,,,,,,,,,,,,
MUNIZIONI FUMOGENE, con o senza carica di scoppio carica espulsiva o carica propulsiva, contenenti materie corrosive,16,,1,1.3G,,1+8,1 (C5000D),,,,,,,,,,,,,,,,
MUNIZIONI FUMOGENE, con o senza carica di scoppio carica espulsiva o carica propulsi- va, contenenti materie tossiche per inalazione,16,,1,1.3G,,1+6.1,1 (C5000D),,,,,,,,,,,,,,,,
MUNIZIONI LACRIMOGENE con carica di scoppio, carica di espulsione o carica propulsiva,18,,1,1.2G,,1+6.1+8,1 (B1000C),,,,,,,,,,,,,,,,
MUNIZIONI LACRIMOGENE con carica di scoppio, carica di espulsione o carica propulsiva,19,,1,1.3G,,1+6.1+8,1 (C5000D),,,,,,,,,,,,,,,,
MUNIZIONI TOSSICHE, con carica di scoppio, carica di espulsione o carica propulsiva,20,,1,1.2K,CARRIAGE PROHIBITED,,,,,,,,,,,,,,,,,,
MUNIZIONI TOSSICHE, con carica di scoppio, carica di espulsione o carica propulsiva,21,,1,1.3K,CARRIAGE PROHIBITED,,,,,,,,,,,,,,,,,,
POLVERE NERA sotto forma di grani o polvere ﬁne,27,,1,1.1D,,1,1 (B1000C),,,,,,,,,,,,,,,,
POLVERE NERA COMPRESSA o POLVERE NERA IN PASTIGLIE,28,,1,1.1D,,1,1 (B1000C),,,,,,,,,,,,,,,,
DETONATORI da mina NON ELETTRICI,29,,1,1.1B,,1,1 (B1000C),,,,,,,,,,,,,,,,
DETONATORI da mina ELETTRICI,30,,1,1.1B,,1,1 (B1000C),,,,,,,,,,,,,,,,
BOMBE con carica di scoppio,33,,1,1.1F,,1,1 (B1000C),,,,,,,,,,,,,,,,
BOMBE con carica di scoppio,34,,1,1.1D,,1,1 (B1000C),,,,,,,,,,,,,,,,
BOMBE con carica di scoppio,35,,1,1.2D,,1,1 (B1000C),,,,,,,,,,,,,,,,
BOMBE FOTO-ILLUMINANTI,37,,1,1.1F,,1,1 (B1000C),,,,,,,,,,,,,,,,
BOMBE FOTO-ILLUMINANTI,38,,1,1.1D,,1,1 (B1000C),,,,,,,,,,,,,,,,
BOMBE FOTO-ILLUMINANTI,39,,1,1.2G,,1,1 (B1000C),,,,,,,,,,,,,,,,
CARICHE DI RINFORZO senza detonatore,42,,1,1.1D,,1,1 (B1000C),,,,,,,,,,,,,,,,
CARICHE DI DISPERSIONE,43,,1,1.1D,,1,1 (B1000C),,,,,,,,,,,,,,,,
CAPSULE per accensione A PERCUSSIONE,44,,1,1.4S,,1.4,4 (E),,,,,,,,,,,,,,,,
CARICHE DI DEMOLIZIONE,48,,1,1.1D,,1,1 (B1000C),,,,,,,,,,,,,,,,
CARTUCCE ILLUMINANTI,49,,1,1.1G,,1,1 (B1000C),,,,,,,,,,,,,,,,
CARTUCCE ILLUMINANTI,50,,1,1.3G,,1,1 (C5000D),,,,,,,,,,,,,,,,
CARTUCCE DA SEGNALAZIONE,54,,1,1.3G,,1,1 (C5000D),,,,,,,,,,,,,,,,
BOSSOLI DI CARTUCCE VUOTI INNESCATI,55,,1,1.4S,,1.4,4 (E),,,,,,,,,,,,,,,,
CARICHE DI PROFONDITÀ,56,,1,1.1D,,1,1 (B1000C),,,,,,,,,,,,,,,,
CARICHE CAVE senza detonatore,59,,1,1.1D,,1,1 (B1000C),,,,,,,,,,,,,,,,
CARICHE DI COLLEGAMENTO ESPLOSIVE,60,,1,1.1D,,1,1 (B1000C),,,,,,,,,,,,,,,,
CORDONE DETONANTE ﬂessibile,65,,1,1.1D,,1,1 (B1000C),,,,,,,,,,,,,,,,
MICCIA A COMBUSTIONE RAPIDA,66,,1,1.4G,,1.4,2 (E),,,,,,,,,,,,,,,,
TAGLIA CAVI PIROTECNICI ESPLOSIVI,70,,1,1.4S,,1.4,4 (E),,,,,,,,,,,,,,,,
CICLOTRIMETILENTRINITROAMMINA UMIDIFICATA (CICLONITE, ESOGENO, RDX), con almeno il 15% (massa) di acqua,72,,1,1.1D,,1,1 (B1000C),,,,,,,,,,,,,,,,
DETONATORI PER MUNIZIONI,73,,1,1.1B,,1,1 (B1000C),,,,,,,,,,,,,,,,
DIAZODINITROFENOLO UMIDIFICATO, con almeno il 40% (massa) di acqua o di una mi- scela di alcol e di acqua,74,,1,1.1A,,1,0 (B),,,,,,,,,,,,,,,,
DINITRATO DI DIETILENGLICOLE DESENSIBILIZZATO, con almeno il 25% (massa) di ﬂem- matizzante non volatile insolubile in acqua,75,,1,1.1D,,1,1 (B1000C),,,,,,,,,,,,,,,,
DINITROFENOLO, secco o umidiﬁcato con meno del 15% (massa) di acqua,76,,1,1.1D,,1+6.1,1 (B1000C),,,,,,,,,,,,,,,,
DINITROFENATI dei metalli alcalini, secchi o umidiﬁcati con meno del 15% (massa) di acqua,77,,1,1.3C,,1+6.1,1 (C5000D),,,,,,,,,,,,,,,,
DINITRORESORCINOLO, secco o umidiﬁcato con meno del 15% (massa) di acqua,78,,1,1.1D,,1,1 (B1000C),,,,,,,,,,,,,,,,
ESANITRODIFENILAMMINA (DIPICRILAMMINA, ESILE),79,,1,1.1D,,1,1 (B1000C),,,,,,,,,,,,,,,,
ESPLOSIVO DA MINA DI TIPO A,81,,1,1.1D,,1,1 (B1000C),,,,,,,,,,,,,,,,
ESPLOSIVO DA MINA DI TIPO B,82,,1,1.1D,,1,1 (B1000C),,,,,,,,,,,,,,,,
ESPLOSIVO DA MINA DI TIPO C,83,,1,1.1D,,1,1 (B1000C),,,,,,,,,,,,,,,,
ESPLOSIVO DA MINA DI TIPO D,84,,1,1.1D,,1,1 (B1000C),,,,,,,,,,,,,,,,
DISPOSITIVI ILLUMINANTI DI SUPERFICIE,92,,1,1.3G,,1,1 (C5000D),,,,,,,,,,,,,,,,
DISPOSITIVI ILLUMINANTI AEREI,93,,1,1.3G,,1,1 (C5000D),,,,,,,,,,,,,,,,
POLVERE ILLUMINANTE,94,,1,1.1G,,1,1 (B1000C),,,,,,,,,,,,,,,,
CARICHE ESPLOSIVE DI ROTTURA per pozzi petroliferi senza detonatore,99,,1,1.1D,,1,1 (B1000C),,,,,,,,,,,,,,,,
MICCIA NON DETONANTE,101,,1,1.3G,,1,1 (C5000D),,,,,,,,,,,,,,,,
CORDONE DETONANTE con rivestimento metallico,102,,1,1.2D,,1,1 (B1000C),,,,,,,,,,,,,,,,
CORDONE DI ACCENSIONE con rivestimento metallico,103,,1,1.4G,,1.4,2 (E),,,,,,,,,,,,,,,,
CORDONE DETONANTE A CARICA RIDOTTA con rivestimento metallico,104,,1,1.4D,,1.4,2 (E),,,,,,,,,,,,,,,,
MICCIA DI SICUREZZA (MICCIA LENTA o CORDONE BICKFORD),105,,1,1.4S,,1.4,4 (E),,,,,,,,,,,,,,,,
SPOLETTE-DETONATORI,106,,1,1.1B,,1,1 (B1000C),,,,,,,,,,,,,,,,
